Sat.ElapsedDays           Sat.A1Gregorian            Sat.SunICRF.VX            Sat.SunICRF.VY            Sat.SunICRF.VZ            Sat.SunICRF.X             Sat.SunICRF.Y             Sat.SunICRF.Z             Mars.SunICRF.VX           Mars.SunICRF.VY           Mars.SunICRF.VZ           Mars.SunICRF.X            Mars.SunICRF.Y            Mars.SunICRF.Z            Earth.SunICRF.VX          Earth.SunICRF.VY          Earth.SunICRF.VZ          Earth.SunICRF.X           Earth.SunICRF.Y           Earth.SunICRF.Z           
8.826697899308783         28 Jul 2023 19:51:03.733   23.81575643556241         15.59795701187593         6.787214854816272         87483887.46527788         -113949805.9566818        -49387107.79410926        1.770909760201661         -20.11635279593849        -9.274725043840519        -246439284.1856148        -10431686.31623764        1864326.29753422          23.85399557505078         15.64156569151203         6.781183002072766         87499954.55409087         -113930092.3638201        -49387834.72990776        
9.653395797453413         29 Jul 2023 15:41:30.431   23.57150027488882         15.8999287932605          6.920471587698764         89176272.73662442         -112824893.3584833        -48897552.75326167        1.926579502924188         -20.1093088430416         -9.275694138661697        -246307234.7644691        -11868284.85230093        1201826.250606582         23.61444532150498         15.94599751377426         6.912970563266304         89195236.34192854         -112801976.125437         -48898762.38279719        
9.653395797457051         29 Jul 2023 15:41:30.431   23.57150027488788         15.89992879326165         6.920471587699272         89176272.73663098         -112824893.358479         -48897552.75325979        1.926579502924874         -20.10930884304156        -9.275694138661695        -246307234.7644684        -11868284.85230725        1201826.250603661         23.61444532150392         15.94599751377559         6.912970563266881         89195236.34193598         -112801976.125432         -48898762.38279502        
10.65339579745705         30 Jul 2023 15:41:30.431   23.27010580173448         16.26095702873547         7.079810722601223         91199878.51035526         -111435511.2609701        -48292726.79016007        2.114946832727234         -20.09956599016531        -9.276307498201438        -246132641.3034295        -13605317.88715965        400375.4962212965         23.31918670571454         16.31010781721474         7.070544614833674         91222811.98583043         -111408479.9673507        -48294660.25111757        
11.65339579745705         31 Jul 2023 15:41:30.431   22.96202489169831         16.61751718564196         7.237204242521507         93197154.38281208         -110015128.6417099        -47674217.67435279        2.303375737415692         -20.08848270568816        -9.276307684274467        -245941770.1781613        -15341451.24903609        -401101.6998394504        23.01804803300072         16.66977067211279         7.226155414011099         93224622.46542679         -109983717.5851072        -47677029.01301124        
12.65339579745705         01 Aug 2023 15:41:30.431   22.64733478107577         16.96951118465723         7.39260881592693          95167525.98872595         -108564135.8272512        -47042195.2606669         2.49185684102909          -20.07605666537649        -9.275693357364791        -245734616.4736367        -17076569.02235238        -1202552.378994018        22.71109695872929         17.02510121185049         7.37987425179546          95200163.29988618         -108528068.3908059        -47046035.16729873        
13.65339579745705         02 Aug 2023 15:41:30.431   22.326114144474           17.31684209874675         7.545981641883086         97110425.71334957         -107082931.5022096        -46396833.24354173        2.680380722123637         -20.06228555187047        -9.274463210561837        -245511176.0849004        -18810555.10125878        -2003923.545375556        22.39831153606817         17.37620819394503         7.531773315882806         97148932.03155206         -107041901.7868006        -46401838.99081952        
14.48009369212741         03 Aug 2023 11:31:57.129   22.05568769755596         17.60039073773825         7.671210434336214         98695474.62293908         -105835900.677342         -45853367.74914368        2.836258576944317         -20.04988374410585        -9.272980356778053        -245314158.5384287        -20243100.48707262        -2666317.516251996        22.13525542388633         17.66332669237738         7.656012437787577         98739399.2661996          -105790505.7962978        -45859425.0739917         
14.48009369213105         03 Aug 2023 11:31:57.129   22.05568769755523         17.600390737739           7.671210434336547         98695474.6229433          -105835900.6773386        -45853367.74914221        2.836258576945003         -20.0498837441058         -9.272980356778046        -245314158.5384278        -20243100.48707892        -2666317.516254917        22.13525542388516         17.66332669237864         7.656012437788122         98739399.26620656         -105790505.7962923        -45859425.07398929        
15.48009369213105         04 Aug 2023 11:31:57.129   21.7229959952731          17.93871558276273         7.820653929410867         100586759.4669044         -104300576.0831906        -45184103.85630702        3.024836094119827         -20.0336496561061         -9.27062197903928         -245060959.3940346        -21974718.85427807        -3467405.844642483        21.8115081978543          18.00683487987911         7.804698245855889         100637943.7511328         -104249524.6779536        -45191509.74386663        
16.48009369213105         05 Aug 2023 11:31:57.129   21.38400388846035         18.27210954936167         7.967947315240854         102449026.9592737         -102736232.5599295        -44502020.66674989        3.213429461807092         -20.01606405949918        -9.26764412015315         -244791466.3984212        -23704876.22513065        -4268263.611014105        21.48153433677046         18.34611092831319         7.951616346167441         102508248.6118699         -102679046.4715533        -44510824.08261073        
17.48009369213105         06 Aug 2023 11:31:57.129   21.03879548907808         18.60048008336113         8.113049645570175         104281736.3654968         -101143300.1954739        -43807305.60974609        3.402029058939995         -19.99712473020053        -9.264045472625147        -244505678.5983329        -25433455.73425435        -5068837.195754655        21.14519347134015         18.68101152168263         8.096710793526631         104349769.5237625         -101079442.6437103        -43817522.88055153        
18.48009369213105         07 Aug 2023 11:31:57.129   20.68745624046676         18.92373581532544         8.255920526419038         106084354.2919207         -99522216.94695142        -43100149.76699115        3.590625215607876         -19.97682945131511        -9.259824767746188        -244203595.8712091        -27160340.33467822        -5869072.954451494        20.80239224033329         19.01134529963507         8.239897932112058         106161951.9726844         -99451099.22130704        -43111767.18661703        
19.30679159722058         08 Aug 2023 07:22:23.828   20.39243732157975         19.18704445596241         8.372318324050154         107551479.3400588         -98161132.01921308        -42506290.29787739        3.74652774741876          -19.95902599151211        -9.255864941946085        -243941561.4915203        -28586589.02654839        -6530332.85337203         20.51409171010588         19.28083024684864         8.356760033126212         107637528.4729538         -98083537.55833675        -42519036.54671296        
19.30679159722422         08 Aug 2023 07:22:23.828   20.39243732157916         19.18704445596294         8.372318324050385         107551479.3400617         -98161132.01921035        -42506290.2978762         3.746527747419446         -19.95902599151203        -9.25586494194607         -243941561.4915191        -28586589.02655466        -6530332.853374936        20.5140917101046          19.28083024684982         8.356760033126724         107637528.4729603         -98083537.55833068        -42519036.54671035        
20.30679159722422         09 Aug 2023 07:22:23.828   20.03038679847287         19.50049292716872         8.510905500638708         109297788.0290503         -96489792.05940636        -41776918.31372736        3.93509247201764          -19.93624814066174        -9.250504708656516        -243609715.3077903        -30310074.66487169        -7329812.60798151         20.15942371242682         19.6022609768557          8.496203190245724         109394670.9979959         -96403751.45453939        -41790973.10382665        
21.30679159722422         10 Aug 2023 07:22:23.828   19.66245412408087         19.80857468730874         8.647149812698915         111012560.7989648         -94791601.35038035        -41035673.35431135        4.123626127769429         -19.9121081985267         -9.244518878020441        -243261578.4023641        -32031533.46807305        -8128802.24411568         19.79830587703863         19.91850907252757         8.633449463187899         111120891.1310079         -94696416.07866533        -41050955.96155024        
22.30679159722422         11 Aug 2023 07:22:23.828   19.28872980452381         20.11120285928232         8.781012800578809         112695293.3297452         -93067027.36332706        -40282759.45752006        4.312118835455999         -19.88660404582693        -9.237906198735557        -242897153.8869473        -33750847.65552146        -8927247.641017366        19.4308145268728          20.22936702256052         8.76839827790632          112815634.7011268         -92961988.28048266        -40299179.2571306         
