Sat.EarthMJ2000Eq.VX      Sat.EarthMJ2000Eq.VY      Sat.EarthMJ2000Eq.VZ      Sat.EarthMJ2000Eq.X       Sat.EarthMJ2000Eq.Y       Sat.EarthMJ2000Eq.Z       Sat.UTCGregorian           
3.836554160655578         3.22128405572731          -0.001116696385632606     10387.4881030405          -11969.39282965374        3.569209609730506         13 Oct 2022 00:08:26.481   
3.485452984714041         3.592019085889319         -0.001227296179814464     11568.62587053284         -10870.23736491607        3.191067376195321         13 Oct 2022 00:13:48.839   
3.095255163240518         3.927686364673397         -0.001325803094461888     12642.25319929119         -9643.32688608279         2.774506970923075         13 Oct 2022 00:19:14.861   
2.67261961773624          4.221653449471999         -0.001410236612658426     13586.51487643142         -8309.095845879801        2.326556705851875         13 Oct 2022 00:24:42.009   
2.222358425583554         4.47056634144493          -0.001479623346220033     14389.89859018919         -6882.379739544142        1.852224215283275         13 Oct 2022 00:30:09.987   
1.749286030038154         4.67184124624937          -0.001533237331938791     15043.29695924451         -5378.172089062882        1.356516362651293         13 Oct 2022 00:35:38.754   
1.258416803494052         4.823424214089418         -0.001570527979440816     15539.26203719251         -3812.242331724264        0.8446532612337033        13 Oct 2022 00:41:08.293   
0.7549524968991905        4.923785088446571         -0.001591118124024243     15872.0051340809          -2201.094530567612        0.3220545746576509        13 Oct 2022 00:46:38.586   
0.2442092368922868        4.971937166492217         -0.001594808850576957     16037.47884211045         -561.7316389642294        -0.2057382934151985       13 Oct 2022 00:52:09.620   
-0.2684311495762551       4.967441297020097         -0.001581579808548998     16033.40745503695         1088.505216008709         -0.733114912534672        13 Oct 2022 00:57:41.387   
-0.7775532872320881       4.910411609516311         -0.001551590345574716     15859.32086108234         2732.045649603097         -1.254432094212887        13 Oct 2022 01:03:13.867   
-1.277803751568796        4.801513535270677         -0.001505176630840981     15516.56341140478         4351.404695623678         -1.764115360039322        13 Oct 2022 01:08:47.053   
-1.763915286460444        4.64195816695111          -0.001442849165397583     15008.28795912702         5929.269266612825         -2.256687101008184        13 Oct 2022 01:14:20.932   
-2.230777701856344        4.433488118696763         -0.001365286424260802     14339.4217671591          7448.736126950634         -2.72684246741048         13 Oct 2022 01:19:55.493   
-2.673487914772171        4.178359124954561         -0.001273327553609643     13516.61662586065         8893.483338476428         -3.169503556016996        13 Oct 2022 01:25:30.727   
-3.087398193700492        3.879318513309701         -0.001167964062954853     12548.18741106761         10247.93618696608         -3.579871474330776        13 Oct 2022 01:31:06.626   
-3.4681630234426          3.539580615912044         -0.001050330539258227     11444.03951205126         11497.42876492335         -3.953476654663856        13 Oct 2022 01:36:43.177   
-3.811800585738994        3.162779894976242         -0.0009216878722276673    10215.52258989313         12628.413836557           -4.28624276719268         13 Oct 2022 01:42:20.377   
-4.114721567751102        2.752941005677898         -0.0007834126675132264    8875.338083795343         13628.5657863969          -4.574517592391146        13 Oct 2022 01:47:58.224   
-4.373768736727827        2.314436155705768         -0.0006369823656448231    7437.404786540043         14486.91867963975         -4.815114025932477        13 Oct 2022 01:53:36.715   
