Sat.EarthMJ2000Eq.VX      Sat.EarthMJ2000Eq.VY      Sat.EarthMJ2000Eq.VZ      Sat.EarthMJ2000Eq.X       Sat.EarthMJ2000Eq.Y       Sat.EarthMJ2000Eq.Z       Sat.UTCGregorian           
-2.87009782229575         2.665925372797968         -0.0003938514184343956    17015.62757186047         19774.16605254503         -3.21367546819993         13 Oct 2022 02:33:38.201   
-3.121506662923012        2.354637310159307         -0.0003434598662671045    14957.15531445682         21498.73759928918         -3.466941318692687        13 Oct 2022 02:45:04.672   
-3.339280511563536        2.019935989195623         -0.0002896584314267566    12724.48583423213         23010.19621121572         -3.685687779908745        13 Oct 2022 02:56:35.174   
-3.521267495094441        1.665439375769884         -0.0002330271212030456    10339.62062541351         24291.04619878972         -3.867343992193131        13 Oct 2022 03:08:09.777   
-3.66570311931619         1.294962569288696         -0.0001741740357983362    7826.318922473974         25326.05316220015         -4.009704638549176        13 Oct 2022 03:19:48.547   
-3.771232175199009        0.9124612744440628        -0.0001137263834758072    5209.762898141407         26102.44828679852         -4.110959455274528        13 Oct 2022 03:31:31.580   
-3.836912093156209        0.5220123150135344        -5.232740777435619e-05    2516.468440631434         26610.00722943212         -4.169705046968113        13 Oct 2022 03:43:18.954   
-3.862227380943385        0.1277554291067627        9.372808914651836e-06     -226.0731390385891        26841.21562934675         -4.184968170365075        13 Oct 2022 03:55:10.756   
-3.847092315738371        -0.2661420730329919       7.072289117380983e-05     -2989.604869522085        26791.3568550115          -4.156218014241479        13 Oct 2022 04:07:07.065   
-3.791849047828536        -0.655550029197233        0.0001310802685832947     -5745.527845678863        26458.57688344605         -4.083373283869768        13 Oct 2022 04:19:07.990   
-3.697265221419618        -1.036383731538245        0.0001898124694837916     -8464.937260787867        25843.94235819788         -3.966811158314597        13 Oct 2022 04:31:13.603   
-3.564516841125955        -1.404692080258744        0.0002463107672856726     -11119.23283648927        24951.4096013817          -3.807357985568539        13 Oct 2022 04:43:24.022   
-3.395182011911078        -1.756658939497776        0.0002999903640490921     -13680.12369469122        23787.86056190595         -3.606295010880133        13 Oct 2022 04:55:39.334   
-3.191214854633577        -2.088669058129883        0.0003503005045561656     -16120.10488335443        22363.00887780117         -3.365340243872522        13 Oct 2022 05:07:59.647   
-2.954927266950277        -2.39733284436356         0.0003967282283192785     -18412.65028648855        20689.35597573415         -3.086640275895983        13 Oct 2022 05:20:25.063   
-2.688963175422923        -2.679523301368047        0.000438803964908465      -20532.50414417067        18782.09472855143         -2.77275315112211         13 Oct 2022 05:32:55.681   
-2.396261208490266        -2.932415475449293        0.000476107436550117      -22456.00564119872        16658.92627517677         -2.426617413391081        13 Oct 2022 05:45:31.615   
-2.080025903814537        -3.153507747647357        0.0005082707903649816     -24161.29048519           14339.93230339609         -2.051530729807362        13 Oct 2022 05:58:12.979   
-1.743697373402936        -3.340644135152659        0.0005349818771104905     -25628.50966617855        11847.43264001595         -1.65112607577734         13 Oct 2022 06:10:59.879   
-1.390906522004592        -3.492040875567004        0.00055598809123334       -26840.09382515204        9205.729810975796         -1.22932990527021         13 Oct 2022 06:23:52.424   
-1.025439093457631        -3.606300694928324        0.0005710983536308401     -27780.93453385345        6440.909412607547         -0.7903296484340858       13 Oct 2022 06:36:50.724   
-0.6511845429099496       -3.682427675751618        0.0005801850742835941     -28438.58235499051        3580.516222196497         -0.3385216539625253       13 Oct 2022 06:49:54.905   
-0.2721155716127701       -3.719829982518314        0.0005831844474569358     -28803.35465436976        653.4527955775663         0.1215054496692387        13 Oct 2022 07:03:05.065   
0.1077767707622252        -3.718329202116538        0.0005800974465253356     -28868.51001386511        -2310.472038718036        0.5850426059547641        13 Oct 2022 07:16:21.323   
0.4845164699858522        -3.678156288408756        0.0005709889612088407     -28630.31978863482        -5280.768757250382        1.047296131669882         13 Oct 2022 07:29:43.798   
0.8541816430638401        -3.599947159220231        0.0005559868364555031     -28088.14222338295        -8226.548027250014        1.503432195473576         13 Oct 2022 07:43:12.604   
1.212953109616601         -3.4847319305775          0.000535279844294656      -27244.45183341803        -11116.89153038131        1.948635028648227         13 Oct 2022 07:56:47.866   
1.557140879586663         -3.333925144870767        0.000509115975429091      -26104.87408438205        -13921.06116600261        2.378139943354785         13 Oct 2022 08:10:29.691   
1.883233322552117         -3.149306326275292        0.0004777990466069758     -24678.14832501004        -16608.90459948833        2.787296502478489         13 Oct 2022 08:24:18.192   
2.187933797030176         -2.932996551034461        0.0004416847769315464     -22976.05380602131        -19151.17778001812        3.171618454691843         13 Oct 2022 08:38:13.492   
2.468189121541474         -2.687435531819991        0.0004011770036244456     -21013.33471065172        -21519.81479372081        3.526825448539457         13 Oct 2022 08:52:15.711   
2.721216327757763         -2.415358736984106        0.0003567239140437455     -18807.62155209264        -23688.19571428409        3.848884420848302         13 Oct 2022 09:06:24.959   
2.944540744557454         -2.119756852719052        0.0003088114286916719     -16379.20275753594        -25631.52630541801        4.134067337869554         13 Oct 2022 09:20:41.361   
3.136011767775152         -1.803849398458534        0.0002579589626289049     -13750.89998972428        -27327.04266500555        4.378982381128968         13 Oct 2022 09:35:05.040   
3.2938254842081           -1.471047181259231        0.000204713387297612      -10947.84351422628        -28754.28612876471        4.580615361135791         13 Oct 2022 09:49:36.122   
3.416539349134358         -1.124920178817354        0.0001496438985652263     -7997.281646951411        -29895.32058668265        4.736362399809864         13 Oct 2022 10:04:14.725   
3.503087692307694         -0.7691561212148148       9.333542098279829e-05     -4928.300296380754        -30734.96873576695        4.844064891831993         13 Oct 2022 10:19:00.964   
3.552791392182537         -0.4075133824066967       3.638116279149866e-05     -1771.477466658668        -31261.00892573066        4.902037809937181         13 Oct 2022 10:33:54.979   
3.5653591251481           -0.04379300109906732      -2.06217755446891e-05     1441.311245827528         -31464.30079284917        4.909088038370939         13 Oct 2022 10:48:56.895   
3.540889732711211         0.3182079980892678        -7.7079729100932e-05      4677.26277264328          -31338.93044033266        4.864534413244483         13 Oct 2022 11:04:06.847   
3.479868064422879         0.6747352860927912        -0.0001324084984014116    7902.963670245369         -30882.30060965427        4.768219565864507         13 Oct 2022 11:19:24.974   
3.383158603229048         1.022111729760479         -0.0001860387104959774    11084.6840760418          -30095.20282290401        4.620519121590728         13 Oct 2022 11:34:51.410   
